ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0033002	muscle cell proliferation	11/47	249/18614	2.24174255361804e-11	4.96545975626396e-08	2.45175843495699e-08	ELN/FGFR2/CX3CL1/EREG/TGFBR3/BMP4/IGF1R/NPR3/MSTN/HMOX1/HBEGF	11
BP	GO:0051781	positive regulation of cell division	8/47	93/18614	7.65643804429809e-11	8.47950513406014e-08	4.1868626989609e-08	FGF7/PDGFA/PTN/FGFR2/MDK/EREG/IGF1R/VEGFC	8
BP	GO:0050900	leukocyte migration	12/47	393/18614	1.78165769805996e-10	1.10996564337093e-07	5.48059547802017e-08	PTN/IL1R1/CXCL1/SLIT2/MDK/WNT5A/C5/CX3CL1/MSTN/HMOX1/VEGFC/VCAM1	12
BP	GO:0002685	regulation of leukocyte migration	10/47	227/18614	2.08251375473094e-10	1.10996564337093e-07	5.48059547802017e-08	PTN/IL1R1/SLIT2/MDK/WNT5A/C5/CX3CL1/MSTN/HMOX1/VEGFC	10
BP	GO:0060326	cell chemotaxis	11/47	312/18614	2.50556578639035e-10	1.10996564337093e-07	5.48059547802017e-08	PTN/CXCL1/SLIT2/MDK/WNT5A/C5/CX3CL1/MSTN/VEGFC/VCAM1/HBEGF	11
BP	GO:0048660	regulation of smooth muscle cell proliferation	9/47	176/18614	4.92274037355546e-10	1.6214454372582e-07	8.00609152577533e-08	ELN/FGFR2/CX3CL1/EREG/BMP4/IGF1R/NPR3/HMOX1/HBEGF	9
BP	GO:0097305	response to alcohol	10/47	252/18614	5.77176864570748e-10	1.6214454372582e-07	8.00609152577533e-08	INHBA/FGFR2/SLIT2/TGFBR3/IGF1R/CD14/MSTN/TNFSF4/VCAM1/PENK	10
BP	GO:0048659	smooth muscle cell proliferation	9/47	180/18614	6.00997151574788e-10	1.6214454372582e-07	8.00609152577533e-08	ELN/FGFR2/CX3CL1/EREG/BMP4/IGF1R/NPR3/HMOX1/HBEGF	9
BP	GO:0042698	ovulation cycle	7/47	75/18614	7.15686216938127e-10	1.6214454372582e-07	8.00609152577533e-08	PTN/INHBA/SLIT2/MDK/EREG/IGF1R/MSTN	7
BP	GO:0022612	gland morphogenesis	8/47	123/18614	7.32029542780227e-10	1.6214454372582e-07	8.00609152577533e-08	FGF7/PDGFA/PTN/FGFR2/MDK/WNT5A/PLXND1/BMP4	8
