geneNames	GSM44908	GSM44909	GSM44910	GSM44911	GSM44912	GSM44913	GSM44938	GSM44939	GSM44940	GSM44941	GSM44942	GSM44943	GSM44944
15-Sep	1517.07952	1128.043426	1212.379144	1124.66181	1048.209452	859.4373658	1596.759856	1789.313851	1547.539282	2065.023899	1074.963743	1456.114891	1372.299665
2-Mar	186.3338507	101.7939009	173.8512141	363.0466208	96.92763515	144.096128	157.2923273	398.5235119	251.1344827	218.5212668	282.5972171	235.7937409	348.1098523
3-Mar	25.81191072	13.90294027	13.11584893	19.33723838	25.77467279	31.21777967	44.00505317	11.19105927	33.51442942	15.36796609	20.0552851	31.40999038	23.8873415
6-Mar	319.242345766667	459.644366033333	489.387394133333	363.686246366667	400.2643985	350.702098533333	266.196098276667	317.458464813	261.112205232	347.364205203333	214.577928516667	346.71758711	247.58019571
7-Mar	1046.397301	912.0380589	1215.152683	863.7176408	1006.785416	1299.712853	691.0244577	1246.740162	908.2767344	1151.008317	1082.755753	1030.280591	1064.133127
AADAC	9.829459464	13.52189272	10.57739885	12.58660564	13.65387212	22.90117749	3.971927976	12.6305494	8.364901695	13.52123198	227.387173	3.458430295	6.625461282
AAK1	90.1622122362	61.5934192344	60.6037361616	107.6827463012	124.519919574	91.740475284	18.8274201944	26.2635407716	29.61056412	23.4147017522	48.357945954	23.0879677074	20.5433015842
AAMP	667.1725362	548.100715	473.4825969	666.9710388	475.8380648	616.5851383	828.9798653	666.9762474	745.1732365	650.1864228	691.2661962	639.7952859	782.1533402
AANAT	743.2625236	733.085321	965.0917132	1015.706414	883.4315169	941.8325574	432.6203516	294.2439558	333.2498715	214.1921155	342.8089555	283.5589812	275.8952631
AARS	1502.049257	942.8024296	1304.744366	877.5648089	1235.360683	1060.186252	1434.16043	1096.834783	1449.423768	1517.715266	1059.236727	1524.51676	1265.854047
AASDHPPT	2271.962775	2236.349584	1979.144323	1842.227048	1892.310566	1710.914304	2316.434877	1493.017046	1599.441941	1570.762195	1435.243907	1770.047206	1528.460577
AASS	90.15640321	58.71348187	79.11890056	20.90720205	65.90909821	52.09647543	33.56945944	48.74624788	82.46414101	64.81768303	59.19015818	39.74072069	32.70627922
AATF	1370.560909	1148.243123	885.4993135	1359.50648	1307.247108	1332.433897	1115.566509	1107.378934	1061.380912	1255.326839	1159.008825	1169.44424	1211.6643
AATK	76.65656155	123.1575251	144.437358	53.63817259	74.85425535	44.54697499	186.5234837	155.6165516	193.84182	167.6927811	369.0533105	141.7407626	248.5947852
ABAT	18.7259298666667	62.0435247633333	70.1430018266667	26.0302086	21.84134982	51.5369829833333	55.5087790866667	59.57185317	52.02836328	76.9301947266667	22.73881574	44.83252367	80.108640755
ABCA1	295.183974186667	280.420454923333	287.473495586667	303.321875253333	301.463363883333	282.321283165667	79.476968432	83.6802966566667	66.51715321	73.540677314	111.808980106667	78.0254501796667	63.9833043266667
ABCA12	7.761506989	6.245924549	4.588252502	8.443922424	11.02085344	9.205619896	1.443202756	2.937547431	2.809811636	3.230483275	9.919849765	5.966067738	5.034667877
ABCA2	135.438671618333	175.471226623333	173.19128809	139.075089209333	156.715276357667	151.569525176667	217.470557107333	204.936360713667	218.835143548	166.830237609333	132.243769531	276.403358079	173.458458202333
ABCA3	358.749436	270.1662118	309.7226196	428.8286515	292.1106599	255.3097262	154.5754644	301.7379744	386.3775589	391.3080039	320.5314658	542.1574509	421.4475883
ABCA4	28.40139645	63.20492907	24.46374026	16.12360161	39.43267595	23.13365857	18.48242415	29.89478372	28.60613647	30.96427811	33.93049004	57.18375667	60.81076672
ABCA5	39.32361702	30.56680994	4.643877679	28.34996085	12.222358	9.191621511	35.34676502	10.11620672	12.65995035	12.87796631	40.12866553	16.2776686	19.56519614
ABCA6	8.8687704605	39.6531416	18.3207549745	19.470493692	7.0107854775	5.1530482	3.606701489	9.0573318175	7.878366561	4.330742225	3.03010058	6.223828376	3.4608318375
ABCA8	89.74659825	160.623874	156.4995572	4.365657904	56.84328141	25.75411975	111.5731979	106.6444956	77.91948667	113.9560622	17.84388623	66.16334282	49.59573891
ABCB1	131.04372955	37.11867889	49.081302485	120.67647415	42.856761985	57.92446829	20.47942721	40.7035506235	20.675920415	15.56442319	189.24480072	16.96277115	9.6876087905
ABCB10	17.01960182	6.045027469	36.2301559	9.47249418	15.66134321	10.46055293	41.52718399	11.94472096	4.174213906	27.71596262	22.47840648	32.55176842	37.89515556
ABCB11	28.62909962	9.344334329	12.22356542	14.98022228	14.13495669	21.06178369	18.1965293	5.894621361	6.333078262	3.239859461	11.45351817	8.229003276	6.937618593
ABCB4	7.34850991	12.73512781	13.80976649	8.354236	4.358339256	23.93743408	7.228228901	8.192110474	10.53567753	8.540430766	54.36075276	6.436379829	5.930002073
ABCB6	246.788242225	210.47299925	184.887817065	148.156152555	190.63620085	175.61900175	166.62054815	90.74956529	156.521307225	127.971183195	89.429470785	183.374651565	138.73413066
ABCB7	147.8772352	110.6255105	161.4293171	119.5061287	93.34254811	103.257899	107.2295015	138.5722223	150.4961973	193.2311004	87.87007872	231.566623	111.8780529
ABCB8	43.22864062	44.48980151	45.43509474	48.10867282	46.22364116	32.21827436	34.53907133	32.48470593	62.97017001	46.63594123	53.5987413	25.92779082	46.53228894
ABCB9	200.0259862	170.4745963	195.3811262	314.6317171	216.9663213	218.2362874	95.85619798	98.6643571	111.8103626	100.6030492	223.2903882	103.3699939	133.9967074
ABCC1	205.7895965975	183.977150095	228.83691104	237.7301266675	364.723139875	227.67843204	208.3228852375	310.60104405	302.95041065	193.761806525	341.2698057	137.5486967025	246.204754475
ABCC10	520.913024266667	518.880191103333	423.489191406667	602.3037132	630.180845333333	640.419214333333	229.582832396667	271.250190166667	256.176929433333	278.701664066667	326.341764666667	261.993254996667	275.924907133333
ABCC2	23.19110973	18.13633918	2.028016262	21.13227157	6.039532157	9.534928515	5.353661253	32.74363679	9.103082876	4.190834636	11.69536844	3.161514802	1.632650289
