ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04010	MAPK signaling pathway	12/37	301/8622	2.23237907952405e-09	2.7011786862241e-07	2.06788798945386e-07	2252/5154/7010/3554/2263/1326/2069/3480/929/4908/7424/2261	12
hsa04060	Cytokine-cytokine receptor interaction	9/37	297/8622	3.2165831803436e-06	0.000194603282410788	0.000148978589405388	3624/3554/2919/6376/652/959/2660/7292/57007	9
hsa04014	Ras signaling pathway	8/37	236/8622	5.43834421504532e-06	0.000219346550006828	0.000167920803832978	2252/5154/7010/2263/3480/4908/7424/2261	8
hsa04151	PI3K-Akt signaling pathway	9/37	359/8622	1.5028826070119e-05	0.0004546219886211	0.000348035972150125	2252/5154/7010/2263/2069/3480/4908/7424/2261	9
hsa04015	Rap1 signaling pathway	7/37	210/8622	2.54467818208944e-05	0.000575150642870625	0.000440306712245454	2252/5154/7010/2263/3480/7424/2261	7
hsa04550	Signaling pathways regulating pluripotency of stem cells	6/37	143/8622	2.8519866588626e-05	0.000575150642870625	0.000440306712245454	3624/2263/7474/652/3480/2261	6
hsa04064	NF-kappa B signaling pathway	5/37	104/8622	7.4357643391581e-05	0.00126334786099465	0.000967156257220785	3554/2919/929/959/7412	5
hsa04020	Calcium signaling pathway	7/37	253/8622	8.35271313054314e-05	0.00126334786099465	0.000967156257220785	2252/5154/2263/5731/154/7424/2261	7
hsa04668	TNF signaling pathway	5/37	114/8622	0.000115074953541938	0.00154711881984162	0.00118439718265387	2919/1326/6376/7424/7412	5
hsa05418	Fluid shear stress and atherosclerosis	5/37	139/8622	0.000291659560931295	0.00352908068726867	0.00270168856441621	5154/3554/652/3162/7412	5
hsa01521	EGFR tyrosine kinase inhibitor resistance	4/37	79/8622	0.000342713495682147	0.00376984845250361	0.00288600838469176	5154/2263/3480/2261	4
hsa04080	Neuroactive ligand-receptor interaction	7/37	367/8622	0.000814094623638802	0.00820878745502459	0.00628423920001882	727/51083/4295/5731/154/6019/5179	7
hsa04810	Regulation of actin cytoskeleton	5/37	229/8622	0.00275593258404997	0.0256513725130805	0.0196374143640807	2252/5154/2263/727/2261	5
hsa05218	Melanoma	3/37	72/8622	0.00353980608463133	0.030594038302885	0.0234212733419216	2252/5154/3480	3
