logFC	AveExpr	t	P.Value	adj.P.Val	B
ENO2	-0.905695966510418	5.86939729228516	-11.2551202255338	9.10466443943703e-13	7.83092188435979e-09	18.3829624176004
ADH1B	2.02302729822917	5.16265915644531	8.40932439367124	1.13086213054597e-09	3.27831790576827e-06	11.9424768758275
ADH1C	1.49528473104166	4.40583015273438	8.40520104512775	1.14346630825541e-09	3.27831790576827e-06	11.9322552514006
CEBPD	0.952143901093748	6.17388422880859	8.17707649275782	2.11827136768248e-09	4.55481300835925e-06	11.3628894675951
ADH1A	1.66205948854167	5.21648600273438	7.14244778540231	3.74985953662911e-08	4.95530804752866e-05	8.69070637061614
MID1	1.1350513859375	6.18537608808594	7.11678491334133	4.03292132690392e-08	4.95530804752866e-05	8.62269710958504
AMIGO2	-0.853085561041669	5.07180601132812	-6.98016262921596	5.94772857631249e-08	6.39455168560797e-05	8.25936807794723
AKR1C3	2.33503426578125	5.97480081767578	6.88978189438521	7.69840929552602e-08	7.35711315009103e-05	8.01787575746642
NAMPT	0.594834641875002	4.68133930664063	6.68781959121694	1.37387608489449e-07	0.000118167082061775	7.47515618824193
SEPP1	2.41502802328125	4.76497884267578	6.62280349959975	1.65672246798859e-07	0.000120411113604626	7.29958391099205
LAMA5	-0.566739885260417	5.81954967822266	-6.61797093109382	1.67995972939834e-07	0.000120411113604626	7.28651789360281
SELENBP1	0.811940366197915	6.00406012158203	6.46037062122953	2.64856079526874e-07	0.000155522962682621	6.85925039233666
SH3BP5	0.968052056249996	6.1956571390625	6.45711878490255	2.6736098492126e-07	0.000155522962682621	6.85041155534857
DCLK1	1.41468720354166	4.36540521210937	6.42922641605257	2.89852476127108e-07	0.000155813821698079	6.77456076015059
MMP11	-0.663710153750003	5.3198956140625	-6.28600439721213	4.39210583733384e-07	0.000198823696352149	6.38409802633887
RBP1	1.52294699322917	5.04044852050781	6.26524027005941	4.66541173807193e-07	0.000200636031795783	6.32735940364303
ITGA3	-0.593377531770837	6.45534892753906	-6.11998486661325	7.12213465535301e-07	0.000291702286527101	5.92960546267389
ITGA4	-1.2534797928125	3.76314123886719	-6.07781572726362	8.05458651675437e-07	0.000311272590863967	5.81387718550162
BMP1	-0.719574869739585	6.01919194287109	-6.06655418850659	8.32376420168729e-07	0.000311272590863967	5.78295310979945
ITGB5	-0.55845667494792	6.97567756044922	-6.05068317796664	8.71855692327552e-07	0.000312451283737886	5.73935887979954
PFKP	-0.557182273333333	6.818642453125	-5.84186312874656	1.60584153041331e-06	0.000509408506456427	5.16454349674178
BDKRB2	0.930809447604168	5.03155702636719	5.80766748494235	1.77505961036013e-06	0.000509408506456427	5.07022376859148
BNIP3	-0.578798671875002	6.69662348476562	-5.80715279423398	1.77773885319353e-06	0.000509408506456427	5.06880377982822
DMD	-1.17279946494792	6.14012152607422	-5.79614423997586	1.8360264736832e-06	0.000509408506456427	5.03842969805717
GNLY	-0.610436100625001	3.74555415507812	-5.77185563513764	1.97150531466991e-06	0.000520764750506407	4.97139839932278
CSPG4	-1.05894660901042	5.21912838681641	-5.76729334857883	1.99805101345325e-06	0.000520764750506407	4.95880512822031
ABCA8	1.29616277572917	4.20666598691406	5.74775079057023	2.11587936035302e-06	0.00053525524642342	4.9048537723535
LAMA4	1.17091842473958	5.64930667509766	5.72439260800388	2.26589697438257e-06	0.000550407261985073	4.84035210566525
MGLL	-0.612368383750002	6.08733903203125	-5.69225708760358	2.48988266581476e-06	0.000570572851539057	4.75158520432633
FGF7	2.19783220291667	4.77406210625	5.68400171785266	2.55092435361913e-06	0.000570572851539057	4.7287768672507
SLC12A2	-0.561557737395835	5.54531974511719	-5.67919162459901	2.58718070108397e-06	0.000570572851539057	4.7154864459251
PDGFA	-0.824890297864584	5.42427436279297	-5.64207017694288	2.88493462422681e-06	0.000601242345807319	4.61289869572895
ID1	1.43538870359375	6.19824976318359	5.59915303656433	3.27225427472878e-06	0.000647814989960804	4.49425412515457
PYGL	0.81094881734375	5.97595110380859	5.59483328169602	3.31401692341302e-06	0.000647814989960804	4.48231003955363
FUT8	0.743599344739583	4.96329135478516	5.56342243527264	3.63418890857903e-06	0.000687625785903964	4.39544910398018
ZHX2	0.748421952499999	5.7677661609375	5.54918771816732	3.78931476862327e-06	0.000693444602658058	4.35608021060779
GEM	-1.13085919927084	5.92087484472656	-5.53413024647518	3.96063107031096e-06	0.000709695579911345	4.31443259814088
LY96	1.405542898125	5.08366613007813	5.52642931203024	4.05122468669557e-06	0.000711113949597318	4.29313132770974
CASP1	0.794691935442708	4.10914484428711	5.49031400575231	4.5045588551665e-06	0.000724385749563303	4.19322500003227
FRY	-0.641300057864586	4.98577235654297	-5.46592354001909	4.83911226355582e-06	0.00074323579605078	4.12574644863019
MYH11	-2.38504643302083	4.41699424160156	-5.44405220283299	5.16020594370412e-06	0.000778647917926301	4.06523402046751
PLEKHA6	0.744107355989582	4.41710181806641	5.35931306362009	6.61871968871055e-06	0.000903612826073007	3.83077328875559
MICAL2	-0.612515701041669	7.09475645507812	-5.35358361089726	6.73105764518754e-06	0.000904591043847782	3.814921229044
FAM179B	0.52806268473958	5.30642140400391	5.33631077312417	7.08139290735577e-06	0.000922834248426772	3.76713245027823
AQP1	-0.761501211666669	4.693773253125	-5.32403482375076	7.34140205218417e-06	0.000942438791803523	3.73316983484042
NINL	0.574493494895832	4.52893210488281	5.31557860335905	7.52603594896409e-06	0.000951932870544708	3.70977560613387
DPYD	0.755824966093748	5.39456002646484	5.30625701452319	7.73494484306304e-06	0.000964177689785293	3.68398810895156
MDFIC	0.817936879062501	5.74088166738281	5.29210667310331	8.06319699847525e-06	0.000990736534055508	3.64484398230342
C1R	1.26093240223958	6.44610826572266	5.27264855702694	8.53741690976893e-06	0.00103422989916792	3.59102093249781
ELN	-0.793090261770835	6.13423098535156	-5.26444348330338	8.74564172948126e-06	0.00104473978493428	3.56832645680679
TEK	-0.744826484635418	5.78204446533203	-5.22598242367376	9.79133362989797e-06	0.0011228701406767	3.46196127139653
SOX4	0.521167619843749	5.36584162021484	5.20707004318189	1.03504106738023e-05	0.0011561543143555	3.40966867059835
SMPDL3A	0.606664072135416	4.74688074716797	5.16240267387898	1.18005633036335e-05	0.00127893130289323	3.28619579113055
PPM1H	0.610178523124999	6.01224683476562	5.15167902838713	1.21778684870571e-05	0.00127893130289323	3.25656025639459
CLU	1.69116859588541	7.29308758388672	5.15081184359797	1.22089005966841e-05	0.00127893130289323	3.25416387047577
PPL	1.06425209895833	5.90995068164063	5.14271940818685	1.25023159561615e-05	0.00127893130289323	3.23180219642318
GJA1	0.509455113020831	6.83388063417969	5.13551892296751	1.27692973430343e-05	0.00127893130289323	3.21190683359337
KCTD12	1.62975830958333	4.80112252421875	5.11945179456021	1.33857098465923e-05	0.00130830102716523	3.16751808775178
CASP4	0.51973486005208	5.74911589091797	5.10116413597434	1.41234823127003e-05	0.00134973412635039	3.11700472456083
HOXB2	1.36506269203125	4.84117546689453	5.07521158357871	1.52405573160456e-05	0.00140916793643323	3.04533949803773
TRIM2	0.637253771718749	5.68684638544922	5.07390565629142	1.52990385268233e-05	0.00140916793643323	3.04173396385084
PGD	0.794235991979164	6.95870507597656	5.07028715536427	1.54622505859144e-05	0.00140916793643323	3.03174398041006
RARRES3	0.828517410312498	5.67273157597656	5.0656051692351	1.56760079664788e-05	0.00140916793643323	3.01881865652727
IFITM1	1.33320004	6.2452483625	5.06296570976317	1.5797808231198e-05	0.00140916793643323	3.01153240426922
STK17B	0.66244913796875	4.73042734404297	5.06093291744869	1.58922555323827e-05	0.00140916793643323	3.00592104642066
ITSN1	0.50805854505208	5.80715477060547	5.05272538900314	1.62793471557277e-05	0.00141432994834762	2.98326648328944
EFHD1	-0.813889865833335	6.14054157734375	-5.01841238252486	1.80019726308984e-05	0.00153301947127086	2.88858514122765
PPAP2B	0.790103172760412	7.14363561318359	5.01203703832746	1.83414789923148e-05	0.00154661824326372	2.87099898315988
PROS1	0.690249152552084	4.91231860419922	4.94804951435025	2.21225671813909e-05	0.00180932518230428	2.69459886019487
C1S	0.99058938505208	6.79034872373047	4.94341288604091	2.24249250242108e-05	0.00180932518230428	2.68182473635736
PDE1A	1.93372705661458	6.28712331923828	4.94213838230574	2.25087541572559e-05	0.00180932518230428	2.67831362281529
